gender,race,age,score,decision
Male,White,28,85,Yes
Female,Black,34,78,No
Male,Asian,45,90,Yes
Female,White,29,82,Yes
Male,Black,52,74,No
Female,Asian,31,88,Yes
Male,White,41,76,No
Female,Black,27,91,Yes
Male,Hispanic,38,69,No
Female,White,33,84,Yes
Male,Asian,47,77,No
Female,Hispanic,25,93,Yes
Male,Black,36,71,No
Female,White,44,86,Yes
Male,White,30,89,Yes
Female,Black,48,67,No
Male,Asian,26,92,Yes
Female,Hispanic,37,75,No
Male,White,55,80,Yes
Female,Asian,32,87,Yes
Male,Black,42,70,No
Female,White,28,83,Yes
Male,Hispanic,50,72,No
Female,Black,35,88,Yes
Male,White,39,79,Yes
Female,Asian,46,91,Yes
Male,Black,31,68,No
Female,White,27,85,Yes
Male,Hispanic,43,73,No
Female,Black,38,90,Yes